醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
2335080014,2,1433,2020/03/08 17:03:42
2335090010,0,1247,2020/03/08 17:03:42
2335100011,0,1360,2020/03/08 17:03:42
2335110017,22,1260,2020/03/08 17:03:42
2335120013,1,1757,2020/03/08 17:03:42
2335130019,2,2278,2020/03/08 17:03:42
2335140015,2,1901,2020/03/08 17:03:42
2335150011,0,520,2020/03/08 17:03:42
2335160017,0,1477,2020/03/08 17:03:42
2335170013,286,1895,2020/03/08 17:03:42
2335180019,888,1372,2020/03/08 17:03:42
2336010016,2,1886,2020/03/08 17:03:42
2336020012,1309,2613,2020/03/08 17:03:42
2336030018,2,1672,2020/03/08 17:03:42
2336040014,0,1030,2020/03/08 17:03:42
2336050010,0,1200,2020/03/08 17:03:42
2336070012,0,1507,2020/03/08 17:03:42
2336080018,0,746,2020/03/08 17:03:42
2336090014,0,1950,2020/03/08 17:03:42
2336100015,0,1332,2020/03/08 17:03:42
2336110011,259,2081,2020/03/08 17:03:42
2336120017,0,1813,2020/03/08 17:03:42
2336130013,0,2140,2020/03/08 17:03:42
2336140019,0,1908,2020/03/08 17:03:42
2336150015,1,2053,2020/03/08 17:03:42
2336160011,1,1409,2020/03/08 17:03:42
2336170017,0,1085,2020/03/08 17:03:42
2336180013,0,2062,2020/03/08 17:03:42
2336190019,1,1969,2020/03/08 17:03:42
2336200010,0,1737,2020/03/08 17:03:42
2336210025,2670,1681,2020/03/08 17:03:42
2336210034,1416,1599,2020/03/08 17:03:42
2337010010,1,1787,2020/03/08 17:03:42
2337010029,699,2084,2020/03/08 17:03:42
2337020016,0,1252,2020/03/08 17:03:42
2337030012,2,478,2020/03/08 17:03:42
2337040018,1803,1868,2020/03/08 17:03:42
2337050014,66,2124,2020/03/08 17:03:42
2337060010,1756,1840,2020/03/08 17:03:42
2337070016,3131,2001,2020/03/08 17:03:42
2337080012,1648,1672,2020/03/08 17:03:42
2337090018,0,1324,2020/03/08 17:03:42
2337100019,1,1693,2020/03/08 17:03:42
2337110015,0,1556,2020/03/08 17:03:42
2337120020,0,1772,2020/03/08 17:03:42
2337130017,2,2042,2020/03/08 17:03:42
2337140013,458,2101,2020/03/08 17:03:42
2337150019,0,1849,2020/03/08 17:03:42
2337160015,663,1650,2020/03/08 17:03:42
2337170011,1,1688,2020/03/08 17:03:42
2337180017,0,1974,2020/03/08 17:03:42
2337190013,0,1664,2020/03/08 17:03:42
2337200014,5380,3287,2020/03/08 17:03:42
2337210010,521,1814,2020/03/08 17:03:42
2337220016,313,1999,2020/03/08 17:03:42
2337230012,3450,2101,2020/03/08 17:03:42
2337240018,522,1969,2020/03/08 17:03:42
2337250014,3169,2148,2020/03/08 17:03:42
2337260010,983,2194,2020/03/08 17:03:42
2338010014,0,798,2020/03/08 17:03:42
2338020010,1374,1889,2020/03/08 17:03:42
2338030016,1,1521,2020/03/08 17:03:42
2338040012,4569,2369,2020/03/08 17:03:42
2338050018,152,2200,2020/03/08 17:03:42
2338060014,17,1974,2020/03/08 17:03:42
2338070010,0,1541,2020/03/08 17:03:42
2338080016,0,1255,2020/03/08 17:03:42
2338090012,807,2260,2020/03/08 17:03:42
2338100013,1600,1762,2020/03/08 17:03:42
2338110019,1790,2089,2020/03/08 17:03:42
2338120015,681,1186,2020/03/08 17:03:42
2338130011,5100,2064,2020/03/08 17:03:42
2339040016,3960,2197,2020/03/08 17:03:42
2339050012,4264,2067,2020/03/08 17:03:42
2339060018,1863,1635,2020/03/08 17:03:42
2339070014,4541,2320,2020/03/08 17:03:42
2339100017,1423,1887,2020/03/08 17:03:42
2339110013,2631,1687,2020/03/08 17:03:42
2339120019,3364,2308,2020/03/08 17:03:42
2339130015,2580,1965,2020/03/08 17:03:42
2339180015,3396,2212,2020/03/08 17:03:42
2339200012,5141,2380,2020/03/08 17:03:42
2340010015,898,1877,2020/03/08 17:03:42
2340020011,690,2208,2020/03/08 17:03:42
2340030017,0,2157,2020/03/08 17:03:42
2340040013,2630,2057,2020/03/08 17:03:42
2340050019,4691,2485,2020/03/08 17:03:42
2340060015,3,2325,2020/03/08 17:03:42
2340070011,31,2366,2020/03/08 17:03:42
2340080017,1425,2344,2020/03/08 17:03:42
2340090013,2629,2113,2020/03/08 17:03:42
2340100014,848,2450,2020/03/08 17:03:42
2340110010,1345,2355,2020/03/08 17:03:42
2340120016,1036,2113,2020/03/08 17:03:42
2340130012,1349,1526,2020/03/08 17:03:42
2340140018,1419,2074,2020/03/08 17:03:42
2340150014,1416,1972,2020/03/08 17:03:42
2340160010,1470,1822,2020/03/08 17:03:42
2340170016,1784,2223,2020/03/08 17:03:42
2340180012,806,1039,2020/03/08 17:03:42
2341010019,4178,2188,2020/03/08 17:03:42
2341020015,426,1692,2020/03/08 17:03:42
2341030011,4277,2123,2020/03/08 17:03:42
2341040017,2243,2129,2020/03/08 17:03:42
2341050013,3940,2264,2020/03/08 17:03:42
2341060019,1782,2316,2020/03/08 17:03:42
2341070015,1158,2039,2020/03/08 17:03:42
2341080011,3239,2036,2020/03/08 17:03:42
2341090017,4375,2309,2020/03/08 17:03:42
2341100018,4508,2292,2020/03/08 17:03:42
2341110014,3607,2146,2020/03/08 17:03:42
2341120010,4075,2440,2020/03/08 17:03:42
2341130016,4332,2469,2020/03/08 17:03:42
2341140012,3004,1959,2020/03/08 17:03:42
2341150018,3628,2142,2020/03/08 17:03:42
2341160014,1563,1657,2020/03/08 17:03:42
2341170010,2107,1755,2020/03/08 17:03:42
2341180016,2543,1963,2020/03/08 17:03:42
2341190012,3643,1930,2020/03/08 17:03:42
2341200013,1243,2101,2020/03/08 17:03:42
2341210019,2,1235,2020/03/08 17:03:42
2341220015,3371,2316,2020/03/08 17:03:42
2341230011,3749,2468,2020/03/08 17:03:42
2341240017,3027,2006,2020/03/08 17:03:42
2341250013,1871,2142,2020/03/08 17:03:42
2341260019,5066,2295,2020/03/08 17:03:42
2341270015,2232,1876,2020/03/08 17:03:42
2341280011,1014,1960,2020/03/08 17:03:42
2341290017,872,2231,2020/03/08 17:03:42
2341300018,1326,2717,2020/03/08 17:03:42
2341310014,1527,1828,2020/03/08 17:03:42
2342010013,433,1978,2020/03/08 17:03:42
2342020019,2,2134,2020/03/08 17:03:42
2342030015,3657,2237,2020/03/08 17:03:42
2342040011,1170,2006,2020/03/08 17:03:42
2342050017,0,2226,2020/03/08 17:03:42
2342060013,0,2211,2020/03/08 17:03:42
2342070019,200,1740,2020/03/08 17:03:42
2342080015,0,1280,2020/03/08 17:03:42
2342100012,0,1785,2020/03/08 17:03:42
2342110018,2,2181,2020/03/08 17:03:42
2342120014,0,1700,2020/03/08 17:03:42
2342130010,135,2479,2020/03/08 17:03:42
2342140016,0,1890,2020/03/08 17:03:42
2342150012,240,2390,2020/03/08 17:03:42
2342160018,8,1673,2020/03/08 17:03:42
2342170014,5,2240,2020/03/08 17:03:42
2342180010,17,864,2020/03/08 17:03:42
2342190016,600,1994,2020/03/08 17:03:42
2342200017,429,2240,2020/03/08 17:03:42
2342210013,3619,1814,2020/03/08 17:03:42
2342220019,7126,2935,2020/03/08 17:03:42
2342230015,2582,1972,2020/03/08 17:03:42
2342240011,4046,2266,2020/03/08 17:03:42
2342250017,5617,2419,2020/03/08 17:03:42
2342260013,5222,2108,2020/03/08 17:03:42
2342270019,5206,1597,2020/03/08 17:03:42
2343010017,1,1385,2020/03/08 17:03:42
2343020013,2013,2037,2020/03/08 17:03:42
2343030019,2,2065,2020/03/08 17:03:42
2343040015,0,920,2020/03/08 17:03:42
2343050011,2,1620,2020/03/08 17:03:42
2343060017,40,2049,2020/03/08 17:03:42
2343070013,3,1842,2020/03/08 17:03:42
2343080019,1,1400,2020/03/08 17:03:42
2343090015,0,1515,2020/03/08 17:03:42
2343100016,0,1913,2020/03/08 17:03:42
2343110012,2573,1786,2020/03/08 17:03:42
2343120018,1654,1295,2020/03/08 17:03:42
2343130014,0,175,2020/03/08 17:03:42
2343140010,0,1912,2020/03/08 17:03:42
2343150016,1506,2182,2020/03/08 17:03:42
2343160012,1,1755,2020/03/08 17:03:42
2343170018,1,1415,2020/03/08 17:03:42
2343180014,0,1299,2020/03/08 17:03:42
2343190010,776,2098,2020/03/08 17:03:42
2343200011,1018,2254,2020/03/08 17:03:42
2343210017,12,2024,2020/03/08 17:03:42
2343220013,0,1868,2020/03/08 17:03:42
2343230019,826,2166,2020/03/08 17:03:42
2343240015,163,1429,2020/03/08 17:03:42
2343250011,1824,1765,2020/03/08 17:03:42
2343260017,3028,1339,2020/03/08 17:03:42
2343270013,3975,1794,2020/03/08 17:03:42
2343280019,354,952,2020/03/08 17:03:42
2343290015,3990,1960,2020/03/08 17:03:42
2343300016,2339,1319,2020/03/08 17:03:42
2343310012,3151,1574,2020/03/08 17:03:42
2343320018,5816,2073,2020/03/08 17:03:42
2343330014,3517,1399,2020/03/08 17:03:42
2344010011,0,1740,2020/03/08 17:03:42
2344011027,601,1484,2020/03/08 17:03:42
2344011036,280,2094,2020/03/08 17:03:42
2344020017,283,2042,2020/03/08 17:03:42
2344030013,126,1690,2020/03/08 17:03:42
2344030022,4167,2632,2020/03/08 17:03:42
2344030031,3453,2228,2020/03/08 17:03:42
2344040019,2204,2394,2020/03/08 17:03:42
2344050015,1871,2703,2020/03/08 17:03:42
2344050024,4670,2790,2020/03/08 17:03:42
2344060011,599,2312,2020/03/08 17:03:42
2345010015,1275,1477,2020/03/08 17:03:42
2345020011,959,2034,2020/03/08 17:03:42
2345030017,2205,1819,2020/03/08 17:03:42
2345040013,113,877,2020/03/08 17:03:42
2345050019,1349,1785,2020/03/08 17:03:42
2345060015,2550,2065,2020/03/08 17:03:42
2345070011,3986,2151,2020/03/08 17:03:42
2345090013,2552,1852,2020/03/08 17:03:42
2345100014,4,1898,2020/03/08 17:03:42
2345110010,106,96,2020/03/08 17:03:42
2345120016,1584,1349,2020/03/08 17:03:42
2345130012,2584,1342,2020/03/08 17:03:42
2346010019,0,1242,2020/03/08 17:03:42
2346020015,0,1037,2020/03/08 17:03:42
2346030011,1129,1563,2020/03/08 17:03:42
2346040017,0,1475,2020/03/08 17:03:42
2346050013,1945,1660,2020/03/08 17:03:42
2346060019,1568,1800,2020/03/08 17:03:42
2346070015,1941,2405,2020/03/08 17:03:42
2346080011,2169,1561,2020/03/08 17:03:42
2346090017,2756,1716,2020/03/08 17:03:42
2346100018,0,1555,2020/03/08 17:03:42
2346110014,1574,1681,2020/03/08 17:03:42
2346120010,4070,1642,2020/03/08 17:03:42
2346130016,1450,1364,2020/03/08 17:03:42
2346140012,6079,2576,2020/03/08 17:03:42
2346150018,4567,1710,2020/03/08 17:03:42
2346160014,5117,2488,2020/03/08 17:03:42
2390010010,0,1568,2020/03/08 17:03:42
2390020016,0,1578,2020/03/08 17:03:42
2390030030,0,739,2020/03/08 17:03:42
2390040518,2,286,2020/03/08 17:03:42
2390050032,846,1303,2020/03/08 17:03:42
2391020010,1988,1704,2020/03/08 17:03:42
2391030016,6275,2757,2020/03/08 17:03:42
2391030026,4024,2516,2020/03/08 17:03:42
2391040012,2715,2447,2020/03/08 17:03:42
5901010058,0,1776,2020/03/08 17:03:42
5901010076,1,106,2020/03/08 17:03:42
5901010085,0,1103,2020/03/08 17:03:42
5901010094,0,1225,2020/03/08 17:03:42
5901010165,0,1086,2020/03/08 17:03:42
5901010174,0,1245,2020/03/08 17:03:42
5901010192,0,514,2020/03/08 17:03:42
5901010272,0,1574,2020/03/08 17:03:42
5901010290,0,1276,2020/03/08 17:03:42
5901010496,0,1674,2020/03/08 17:03:42
5901010576,0,405,2020/03/08 17:03:42
5901011662,0,2092,2020/03/08 17:03:42
5901011699,0,1432,2020/03/08 17:03:42
5901011733,2,2364,2020/03/08 17:03:42
5901011751,0,106,2020/03/08 17:03:42
5901011760,0,1877,2020/03/08 17:03:42
5901011975,0,370,2020/03/08 17:03:42
5901012203,0,909,2020/03/08 17:03:42
5901012383,0,2995,2020/03/08 17:03:42
5901012409,0,373,2020/03/08 17:03:42
5901012454,0,1025,2020/03/08 17:03:42
5901012490,0,957,2020/03/08 17:03:42
5901012507,0,172,2020/03/08 17:03:42
5901012516,0,1377,2020/03/08 17:03:42
5901012561,0,1270,2020/03/08 17:03:42
5901012570,1,931,2020/03/08 17:03:42
5901012598,19,940,2020/03/08 17:03:42
5901012632,0,1121,2020/03/08 17:03:42
5901012650,0,1580,2020/03/08 17:03:42
5901012669,27,1923,2020/03/08 17:03:42
5901012712,0,905,2020/03/08 17:03:42
5901012749,18,2032,2020/03/08 17:03:42
5901012758,0,1057,2020/03/08 17:03:42
5901012767,9,1042,2020/03/08 17:03:42
5901012918,0,251,2020/03/08 17:03:42
5901012963,0,382,2020/03/08 17:03:42
5901013004,1,2086,2020/03/08 17:03:42
5901013095,0,835,2020/03/08 17:03:42
5901013120,0,1140,2020/03/08 17:03:42
5901013139,0,1555,2020/03/08 17:03:42
5901013148,0,951,2020/03/08 17:03:42
5901013157,0,6,2020/03/08 17:03:42
5901013175,0,1081,2020/03/08 17:03:42
5901013200,0,1281,2020/03/08 17:03:42
5901013246,0,970,2020/03/08 17:03:42
5901013264,0,2464,2020/03/08 17:03:42
5901013308,0,911,2020/03/08 17:03:42
5901013326,0,216,2020/03/08 17:03:42
5901013344,0,1630,2020/03/08 17:03:42
5901013362,0,468,2020/03/08 17:03:42
5901013371,0,2278,2020/03/08 17:03:42
5901013380,3,1545,2020/03/08 17:03:42
5901013399,0,1327,2020/03/08 17:03:42
5901013406,0,1181,2020/03/08 17:03:42
5901013433,0,930,2020/03/08 17:03:42
5901013442,2,2937,2020/03/08 17:03:42
5901013451,0,1780,2020/03/08 17:03:42
5901013460,0,133,2020/03/08 17:03:42
5901013488,0,2461,2020/03/08 17:03:42
5901013497,9,1170,2020/03/08 17:03:42
5901013504,0,1130,2020/03/08 17:03:42
5901013513,0,1069,2020/03/08 17:03:42
5901013522,0,2221,2020/03/08 17:03:42
5901020296,0,955,2020/03/08 17:03:42
5901020303,0,1391,2020/03/08 17:03:42
5901020376,6,2346,2020/03/08 17:03:42
5901020385,0,1018,2020/03/08 17:03:42
5901020465,0,2005,2020/03/08 17:03:42
5901020554,0,442,2020/03/08 17:03:42
5901020563,0,1650,2020/03/08 17:03:42
5901020590,0,2585,2020/03/08 17:03:42
5901020616,0,1277,2020/03/08 17:03:42
5901020634,0,1242,2020/03/08 17:03:42
5901020652,0,1203,2020/03/08 17:03:42
5901020661,0,1045,2020/03/08 17:03:42
5901020670,0,2067,2020/03/08 17:03:42
5901020689,0,2151,2020/03/08 17:03:42
5901020698,0,931,2020/03/08 17:03:42
5901020732,0,1459,2020/03/08 17:03:42
5901020787,33,801,2020/03/08 17:03:42
5901020858,0,474,2020/03/08 17:03:42
5901020876,0,984,2020/03/08 17:03:42
5901020901,0,1738,2020/03/08 17:03:42
5901021248,0,2,2020/03/08 17:03:42
5901021346,0,1585,2020/03/08 17:03:42
5901021382,0,340,2020/03/08 17:03:42
5901021408,1,2360,2020/03/08 17:03:42
5901022521,0,1069,2020/03/08 17:03:42
5901022601,0,1387,2020/03/08 17:03:42
5901022898,0,757,2020/03/08 17:03:42
5901023073,0,1241,2020/03/08 17:03:42
5901023091,85,2806,2020/03/08 17:03:42
5901023153,0,2444,2020/03/08 17:03:42
5901023215,0,2227,2020/03/08 17:03:42
5901023304,0,770,2020/03/08 17:03:42
5901023313,31,2153,2020/03/08 17:03:42
5901023331,270,2427,2020/03/08 17:03:42
5901023386,213,1779,2020/03/08 17:03:42
5901023411,360,605,2020/03/08 17:03:42
5901023519,0,1398,2020/03/08 17:03:42
5901023523,279,1197,2020/03/08 17:03:42
5901023591,0,1002,2020/03/08 17:03:42
5901023653,0,1146,2020/03/08 17:03:42
5901023680,36,1585,2020/03/08 17:03:42
5901023706,1,2051,2020/03/08 17:03:42
5901023724,0,1666,2020/03/08 17:03:42
5901023831,0,1217,2020/03/08 17:03:42
5901023886,0,528,2020/03/08 17:03:42
5901023902,0,1118,2020/03/08 17:03:42
5901023966,0,125,2020/03/08 17:03:42
5901024007,0,185,2020/03/08 17:03:42
5901024098,15,1204,2020/03/08 17:03:42
5901024114,0,417,2020/03/08 17:03:42
5901024123,0,774,2020/03/08 17:03:42
5901024178,0,1047,2020/03/08 17:03:42
5901024212,1,2535,2020/03/08 17:03:42
5901024221,0,1719,2020/03/08 17:03:42
5901024310,0,74,2020/03/08 17:03:42
5901024347,0,274,2020/03/08 17:03:42
5901024472,0,1456,2020/03/08 17:03:42
5901024481,0,3,2020/03/08 17:03:42
5901024525,0,2542,2020/03/08 17:03:42
5901024543,0,885,2020/03/08 17:03:42
5901024632,15,51,2020/03/08 17:03:42
5901024669,0,1584,2020/03/08 17:03:42
5901024678,0,757,2020/03/08 17:03:42
5901024696,0,1660,2020/03/08 17:03:42
5901024703,0,595,2020/03/08 17:03:42
5901024712,0,676,2020/03/08 17:03:42
5901024721,0,950,2020/03/08 17:03:42
5901024758,0,844,2020/03/08 17:03:42
5901024767,0,2049,2020/03/08 17:03:42
5901024810,0,692,2020/03/08 17:03:42
5901024829,0,267,2020/03/08 17:03:42
5901024838,1,1654,2020/03/08 17:03:42
5901024856,0,2596,2020/03/08 17:03:42
5901024865,33,2239,2020/03/08 17:03:42
5901024874,0,942,2020/03/08 17:03:42
5901024883,12,283,2020/03/08 17:03:42
5901024892,0,1563,2020/03/08 17:03:42
5901024909,0,1359,2020/03/08 17:03:42
5901024918,12,0,2020/03/08 17:03:42
5901024927,196,1526,2020/03/08 17:03:42
5901090074,1,1131,2020/03/08 17:03:42
5901090127,0,1198,2020/03/08 17:03:42
5901090154,2,1053,2020/03/08 17:03:42
5901090181,0,307,2020/03/08 17:03:42
5901090216,0,472,2020/03/08 17:03:42
5901090243,0,145,2020/03/08 17:03:42
5901090289,1,1089,2020/03/08 17:03:42
5901090323,0,1194,2020/03/08 17:03:42
5901090369,0,5,2020/03/08 17:03:42
5901091544,0,1276,2020/03/08 17:03:42
5901091624,0,665,2020/03/08 17:03:42
5901091688,0,998,2020/03/08 17:03:42
5901091759,0,624,2020/03/08 17:03:42
5901091820,0,42,2020/03/08 17:03:42
5901091839,0,960,2020/03/08 17:03:42
5901091857,0,287,2020/03/08 17:03:42
5901091884,93,1456,2020/03/08 17:03:42
5901091973,0,1195,2020/03/08 17:03:42
5901091991,0,610,2020/03/08 17:03:42
5901092014,0,905,2020/03/08 17:03:42
5901092041,0,1104,2020/03/08 17:03:42
5901092050,0,660,2020/03/08 17:03:42
5901092069,0,1299,2020/03/08 17:03:42
5901092078,601,1194,2020/03/08 17:03:42
5901100066,600,1871,2020/03/08 17:03:42
5901100155,0,2498,2020/03/08 17:03:42
5901100244,0,1855,2020/03/08 17:03:42
5901100333,1,1302,2020/03/08 17:03:42
5901100342,0,1192,2020/03/08 17:03:42
5901100431,0,2229,2020/03/08 17:03:42
5901100440,599,1622,2020/03/08 17:03:42
5901100495,0,931,2020/03/08 17:03:42
5901100628,0,1769,2020/03/08 17:03:42
5901100664,0,1686,2020/03/08 17:03:42
5901100717,0,2614,2020/03/08 17:03:42
5901100735,0,7,2020/03/08 17:03:42
5901100771,1,735,2020/03/08 17:03:42
5901100799,0,1755,2020/03/08 17:03:42
5901100959,1,403,2020/03/08 17:03:42
5901101072,0,1283,2020/03/08 17:03:42
5901101161,3,1114,2020/03/08 17:03:42
5901101250,0,1777,2020/03/08 17:03:42
5901101321,0,2167,2020/03/08 17:03:42
5901101509,0,1715,2020/03/08 17:03:42
5901101536,0,377,2020/03/08 17:03:42
5901101607,0,1276,2020/03/08 17:03:42
5901101625,0,1126,2020/03/08 17:03:42
5901101652,0,2205,2020/03/08 17:03:42
5901101910,0,1590,2020/03/08 17:03:42
5901101929,0,576,2020/03/08 17:03:42
5901101992,0,2611,2020/03/08 17:03:42
5901102015,0,1065,2020/03/08 17:03:42
5901102060,0,1327,2020/03/08 17:03:42
5901102408,0,1367,2020/03/08 17:03:42
5901102417,0,1162,2020/03/08 17:03:42
5901102444,103,1654,2020/03/08 17:03:42
5901102515,0,391,2020/03/08 17:03:42
5901102560,0,1550,2020/03/08 17:03:42
5901102579,0,1649,2020/03/08 17:03:42
5901102597,0,2107,2020/03/08 17:03:42
5901102631,24,1204,2020/03/08 17:03:42
5901102677,0,342,2020/03/08 17:03:42
5901102686,0,947,2020/03/08 17:03:42
5901102748,0,1227,2020/03/08 17:03:42
5901102828,0,2197,2020/03/08 17:03:42
5901102837,0,1740,2020/03/08 17:03:42
5901102855,3,1463,2020/03/08 17:03:42
5901102873,3,544,2020/03/08 17:03:42
5901102891,0,976,2020/03/08 17:03:42
5901102962,600,1900,2020/03/08 17:03:42
5901102999,0,813,2020/03/08 17:03:42
5901103030,0,1931,2020/03/08 17:03:42
5901103110,0,1610,2020/03/08 17:03:42
5901103147,0,783,2020/03/08 17:03:42
5901103183,0,1055,2020/03/08 17:03:42
5901103192,0,2092,2020/03/08 17:03:42
5901103209,0,1750,2020/03/08 17:03:42
5901103227,0,1612,2020/03/08 17:03:42
5901103236,0,956,2020/03/08 17:03:42
5901103272,0,1041,2020/03/08 17:03:42
5901103325,114,2004,2020/03/08 17:03:42
5901103334,0,1560,2020/03/08 17:03:42
5901103343,282,1895,2020/03/08 17:03:42
5901103352,0,816,2020/03/08 17:03:42
5901103405,0,747,2020/03/08 17:03:42
5901103414,0,1544,2020/03/08 17:03:42
5901103423,267,1289,2020/03/08 17:03:42
5901103450,0,1589,2020/03/08 17:03:42
5901103469,0,1555,2020/03/08 17:03:42
5901103487,24,984,2020/03/08 17:03:42
5901103496,0,941,2020/03/08 17:03:42
5901103512,2,2215,2020/03/08 17:03:42
5901103521,3,2176,2020/03/08 17:03:42
5901103530,6,818,2020/03/08 17:03:42
5901103549,0,1724,2020/03/08 17:03:42
5901103558,0,726,2020/03/08 17:03:42
5901103576,30,1483,2020/03/08 17:03:42
5901103585,300,1302,2020/03/08 17:03:42
5901103601,0,1859,2020/03/08 17:03:42
5901110080,0,1975,2020/03/08 17:03:42
5901110133,0,1315,2020/03/08 17:03:42
5901110268,0,35,2020/03/08 17:03:42
5901110302,0,963,2020/03/08 17:03:42
5901110311,0,958,2020/03/08 17:03:42
5901110393,0,624,2020/03/08 17:03:42
5901110624,0,386,2020/03/08 17:03:42
5901111863,0,200,2020/03/08 17:03:42
5901111890,48,479,2020/03/08 17:03:42
5901111934,0,3,2020/03/08 17:03:42
5901112011,0,111,2020/03/08 17:03:42
5901112100,0,1256,2020/03/08 17:03:42
5901112413,0,311,2020/03/08 17:03:42
5901112593,0,1070,2020/03/08 17:03:42
5901112600,0,1400,2020/03/08 17:03:42
5901112682,21,0,2020/03/08 17:03:42
5901112726,0,30,2020/03/08 17:03:42
5901112762,0,162,2020/03/08 17:03:42
5901112780,338,1364,2020/03/08 17:03:42
5901112824,75,338,2020/03/08 17:03:42
5901112842,0,1482,2020/03/08 17:03:42
5901112860,0,19,2020/03/08 17:03:42
5901112977,0,136,2020/03/08 17:03:42
5901113018,0,1369,2020/03/08 17:03:42
5901113027,0,240,2020/03/08 17:03:42
5901113045,0,15,2020/03/08 17:03:42
